# Cell_X[m]  Cell_Y[m]  Velocity[m/s]
49.051595  -1.602778  603.730461
47.651468  -0.712317  299.463009
48.177920  -1.486513  438.805601
46.621639  -1.411483  373.530396
45.765704  -2.115198  677.030777
58.516220  -2.219737  717.576994
63.947402  -1.438495  452.599874
58.188916  -0.650282  321.881489
58.714990  -1.399950  531.359780
58.887523  -1.950038  728.879884
57.717390  -2.001727  593.284649
61.325901  -1.607079  518.169972
62.833953  -1.970794  521.000219
60.763961  -0.609911  250.911114
60.480512  -1.306635  547.116418
58.098434  -1.840952  615.957056
61.805462  -1.683456  513.526458
63.708145  -0.656990  419.584894
64.419920  -1.141439  458.235849
62.855210  -1.410310  385.018613
62.185942  -2.181607  539.770835
65.239668  -0.666721  407.246490
65.655156  -1.258515  465.777713
66.705528  -0.600423  328.610696
66.332428  -1.140762  416.965704
70.156109  -0.560385  267.142840
70.703359  -0.994665  372.595109
71.678234  -0.685680  300.796036
72.071470  -1.216040  408.063208
69.461773  -1.742963  610.538234
70.305287  -1.092469  364.036623
73.166838  -0.631435  388.091255
72.725360  -1.191796  407.032854
78.198255  -0.714282  326.245147
78.616065  -1.276388  432.344027
76.665353  -0.581799  332.856712
77.225898  -1.040839  389.467490
75.990072  -1.862317  630.560276
76.827585  -1.144313  397.066584
84.727277  -0.651264  293.388993
85.174505  -1.144324  343.563210
83.189727  -0.551239  308.292247
83.773323  -0.967367  382.395495
82.612324  -1.754749  614.847489
83.381685  -1.070225  384.270247
79.699375  -0.654329  224.832775
79.284146  -1.251572  303.874551
89.396207  -2.226455  404.088539
92.347688  -1.752183  423.822035
89.187292  -0.662929  218.805166
89.676994  -1.403484  285.377190
87.973136  -1.502004  346.452039
89.054605  -1.819977  383.292270
83.791935  -1.805969  587.961757
88.617422  -1.892488  393.910437
