# Index  Shot#  Recv#  Measured[s]  Calculated[s]  Residual[s]
   586      7     29  0.028840  0.028866  -0.000026
   587      7     30  0.029260  0.028436  0.000824
   588      7     31  0.028250  0.027561  0.000689
   589      7     32  0.027730  0.028022  -0.000292
   590      7     33  0.027840  0.027908  -0.000068
   591      7     35  0.028000  0.027252  0.000748
   592      7     36  0.026750  0.026872  -0.000122
   593      7     37  0.026000  0.026295  -0.000295
   594      7     38  0.026750  0.026372  0.000378
   595      7     39  0.025750  0.025745  0.000005
   596      7     40  0.025750  0.025513  0.000237
   597      7     41  0.024750  0.024091  0.000659
   598      7     42  0.023750  0.024240  -0.000490
   599      7     43  0.023250  0.023444  -0.000194
   600      7     44  0.023270  0.023230  0.000040
   601      7     45  0.022840  0.022590  0.000250
   602      7     46  0.021910  0.021756  0.000154
   603      7     47  0.021410  0.021113  0.000297
   604      7     48  0.020980  0.020625  0.000355
   605      7     49  0.020950  0.020470  0.000480
   606      7     50  0.020130  0.019658  0.000472
   607      7     51  0.019700  0.017954  0.001746
   608      7     52  0.019910  0.018664  0.001246
   609      7     53  0.018160  0.018589  -0.000429
   610      7     54  0.018410  0.018248  0.000162
   611      7     55  0.016930  0.017540  -0.000610
